Virginia                66.99    31.83     1.18
Washington              48.13    43.89     7.98
West Virginia           48.44    49.38     2.18
Wisconsin               42.80    49.39     7.81
Wyoming                 54.62    41.86     3.52
Alabama                 67.31    31.37     1.32
Arizona                 44.39    55.61     0.00
Arkansas                58.49    38.73     2.78
California              24.28    66.20     9.52
Colorado                35.93    59.32     4.75
Connecticut             33.03    62.72     4.25
Delaware                42.07    55.71     2.22
Florida                 62.13    30.79     7.08
Georgia                 72.28    27.72     0.00
Idaho                   34.34    65.60     0.06
Illinois                25.51    67.81     6.68
Indiana                 40.49    55.14     4.37
Iowa                    25.46    70.91     3.63
Kansas                  32.52    64.75     2.73
Kentucky                49.69    49.25     1.06
Louisiana               69.24    30.49     0.27
Maine                   29.80    68.92     1.28
Maryland                42.16    55.11     2.73
Massachusetts           27.84    68.55     3.61
Michigan                22.27    72.76     4.97
Minnesota               19.43    70.59     9.98
Mississippi             83.98    14.03     1.99
Missouri                43.13    54.56     2.31
Montana                 32.05    61.13     6.82
Nebraska                31.25    64.66     4.09
Nevada                  36.22    56.92     6.86
New Hampshire           39.39    59.84     0.77
New Jersey              28.42    67.65     3.93
New Mexico              44.27    54.68     1.05
New York                26.95    64.56     8.49
North Carolina          56.70    43.22     0.08
North Dakota            18.19    77.79     4.02
Ohio                    38.58    58.47     2.95
Oklahoma                44.61    50.11     5.28
Oregon                  33.55    60.20     6.25
Pennsylvania            27.20    65.76     7.04
Rhode Island            32.78    63.97     3.25
South Carolina          96.05     3.91     0.04
South Dakota            19.72    60.74    19.54
U. S.                   34.15    60.32     5.53
Tennessee               48.19    51.29     0.52
Texas                   59.34    23.54    17.12
Utah                    38.84    55.93     5.23
Vermont                 23.25    75.82     0.93
Virginia                61.32    37.85     0.83
Washington              21.14    55.96    22.90
West Virginia           43.30    55.30     1.40
Wisconsin               16.17    71.10    12.73
Wyoming                 31.86    64.15     3.99
Alabama                 67.81    27.01     5.18
Arizona                 35.47    41.26    23.27
Arkansas                61.21    29.28     9.51
California               8.23    57.20    34.57
Colorado                21.98    57.02    21.00
Connecticut             27.53    61.54    10.93
Delaware                36.80    57.70     5.50
Florida                 56.88    28.06    15.06
Georgia                 73.96    18.19     7.85
Idaho                   16.36    47.12    36.52
Illinois                23.36    58.84    17.80
Indiana                 38.69    55.25     6.06
Iowa                    16.64    55.03    28.33
Kansas                  23.60    61.54    14.86
Kentucky                45.98    48.93     5.09
Louisiana               76.44    20.23     3.33
Maine                   21.83    72.03     6.14
Maryland                41.29    45.29    13.42
Massachusetts           24.86    62.26    12.88
Michigan                13.13    75.37    11.50
Minnesota                6.80    51.18    42.02
Mississippi             89.34     7.55     3.11
Missouri                43.79    49.58     6.63
Montana                 19.38    42.50    38.12
Nebraska                29.58    47.09    23.33
Nevada                  21.95    41.76    36.29
New Hampshire           34.72    59.83     5.45
New Jersey              27.41    62.17    10.42
New Mexico              43.02    48.52     8.46
New York                29.13    55.76    15.11
North Carolina          58.89    39.73     1.38
North Dakota             6.96    47.68    45.36
Ohio                    23.70    58.33    17.97
Oklahoma                48.41    42.82     8.77
Oregon                  24.18    51.01    24.81
Pennsylvania            19.08    65.34    15.58
Rhode Island            36.46    59.63     3.91
South Carolina          96.56     2.21     1.23
South Dakota            13.35    49.69    36.96
U. S.                   28.82    54.04    17.14
Tennessee               52.80    43.59     3.61
Texas                   73.70    19.78     6.52
Utah                    29.94    49.26    20.80
Vermont                 15.67    78.22     6.11
Virginia                62.48    32.79     4.73
Washington              10.16    52.24    37.60
West Virginia           44.07    49.45     6.48
Wisconsin                8.10    37.06    54.84
Wyoming                 16.11    52.39    31.50
Alabama                 51.33    48.49     0.18
Arizona                 42.23    57.57     0.20
Arkansas                60.29    39.33     0.38
California              34.19    64.69     1.12
Colorado                33.94    64.72     1.34
Connecticut             45.57    53.63     0.80
Delaware                34.60    65.03     0.37
Florida                 40.12    56.83     3.05
Georgia                 56.56    43.36     0.08
Idaho                   34.93    64.22     0.85
Illinois                42.28    56.93     0.79
Indiana                 39.59    59.68     0.73
Iowa                    37.57    61.77     0.66
Kansas                  27.06    72.02     0.92
Kentucky                40.51    59.33     0.16
Louisiana               76.29    23.70     0.01
Maine                   30.96    68.63     0.41
Maryland                42.33    57.06     0.61
Massachusetts           50.24    49.15     0.61
Michigan                28.92    70.36     0.72
Minnesota               40.83    57.77     1.40
Mississippi             82.10    17.90     0.00
Missouri                44.15    55.58     0.27
Montana                 40.48    58.37     1.15
Nebraska                36.18    63.19     0.63
Nevada                  43.46    56.54     0.00
New Hampshire           41.02    58.65     0.33
New Jersey              39.80    59.77     0.43
New Mexico              40.85    59.01     0.14
New York                47.44    49.79     2.77
North Carolina          45.06    54.94     0.00
North Dakota            44.46    54.80     0.74
Ohio                    34.45    64.89     0.66
Oklahoma                35.44    63.72     0.84
Oregon                  34.14    64.18     1.68
Pennsylvania            33.89    65.24     0.87
Rhode Island            50.16    49.55     0.29
South Carolina          91.39     8.54     0.07
South Dakota            39.20    60.18     0.62
U. S.                   40.80    58.21     0.99
